web-scraper-order,web-scraper-start-url,job_title,company_name,salary,requirement,scale
"1554769834-519","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能科学家","小库科技","60k-100k","60k-100k
                        经验不限 / 博士","移动互联网 / A轮 / 50-150人"
"1554769834-528","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能应用研发工程师","益链科技","20k-35k","20k-35k
                        经验5-10年 / 硕士","移动互联网 / 天使轮 / 15-50人"
"1554769834-524","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能算法 工程师","超准视觉","15k-30k","15k-30k
                        经验1-3年 / 本科","移动互联网,人工智能 / A轮 / 15-50人"
"1554769834-527","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能产品运营","竹间智能科技(上海)有限公司","10k-20k","10k-20k
                        经验1-3年 / 本科","移动互联网,其他 / B轮 / 150-500人"
"1554769834-504","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能架构师","智言科技","25k-40k","25k-40k
                        经验5-10年 / 本科","数据服务,其他 / A轮 / 50-150人"
"1554769834-526","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能应用产品经理","招商证券信息技术中心","25k-40k","25k-40k
                        经验不限 / 本科","招聘,其他 / 上市公司 / 2000人以上"
"1554769834-521","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能科学家","微埃科技","10k-20k","10k-20k
                        经验1-3年 / 硕士","数据服务 / 天使轮 / 15-50人"
"1554769834-520","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能产品经理","深圳市丰巢科技有限公司","15k-30k","15k-30k
                        经验3-5年 / 本科","移动互联网,O2O / A轮 / 500-2000人"
"1554769834-515","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能研发专家","金控集团","35k-50k","35k-50k
                        经验5-10年 / 本科","金融 / 未融资 / 2000人以上"
"1554769834-507","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能研究员","极盛科技","20k-40k","20k-40k
                        经验3-5年 / 硕士","移动互联网,金融 / 上市公司 / 150-500人"
"1554769834-523","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能算法","大小峰","30k-50k","30k-50k
                        经验3-5年 / 硕士","电子商务,其他 / 不需要融资 / 15-50人"
"1554769834-512","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","11212B-AI高级产品经理-智能认知","平安科技","15k-30k","15k-30k
                        经验5-10年 / 本科","金融 / 不需要融资 / 2000人以上"
"1554769834-501","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能工程师","百果科技","15k-20k","15k-20k
                        经验1-3年 / 硕士","移动互联网,电子商务 / B轮 / 150-500人"
"1554769834-511","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能开发经理/工程师","富士康科技集团","18k-35k","18k-35k
                        经验3-5年 / 本科","电子商务 ,数据服务 / 上市公司 / 2000人以上"
"1554769834-503","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能研究员","旭宏医疗","20k-40k","20k-40k
                        经验不限 / 硕士","医疗健康,人工智能 / A轮 / 50-150人"
"1554769834-499","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","中高级Java开发工程师-人工智能研发部","思迪股份","8k-15k","8k-15k
                        经验1-3年 / 本科","移动互联网,金融 / B轮 / 500-2000人"
"1554769834-522","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能研发专家","华发城市运营","45k-65k","45k-65k
                        经验不限 / 硕士","生活服务 / 不需要融资 / 500-2000人"
"1554769834-509","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","DSQ-人工智能与机器学习资深工程师","顺丰科技有限公司","30k-50k","30k-50k
                        经验3-5年 / 硕士","移动互联网,电子商务 / 不需要融资 / 500-2000人"
"1554769834-500","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能（架构方向）","中信银行信用卡中心","40k-60k","40k-60k
                        经验5-10年 / 本科","移动互联网,金融 / 上市公司 / 2000人以上"
"1554769834-510","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能工程师（高级）","鲁班嫡系机器人","15k-30k","15k-30k
                        经验1-3年 / 本科","移动互联网,硬件 / 不需要融资 / 150-500人"
"1554769834-516","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能训练师","智言科技","4k-8k","4k-8k
                        经验1-3年 / 大专","数据服务,其他 / A轮 / 50-150人"
"1554769834-514","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能岗（深度学习方向）","中信银行信用卡中心","25k-50k","25k-50k
                        经验3-5年 / 本科","移动互联网,金融 / 上市公司 / 2000人以上"
"1554769834-508","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能工程师","火光摇曳","25k-45k","25k-45k
                        经验3-5年 / 硕士","移动互联网,教育 / 天使轮 / 15-50人"
"1554769834-525","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能算法工程师","云动创想","15k-18k","15k-18k
                        经验1-3年 / 本科","硬件 / B轮 / 150-500人"
"1554769834-506","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能语音录音师 (MJ000235)","追一科技","8k-16k","8k-16k
                        经验不限 / 本科","移动互联网,企业服务 / C轮 / 150-500人"
"1554769834-518","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能实习生","火光摇曳","8k-10k","8k-10k
                        经验应届毕业生 / 硕士","移动互联网,教育 / 天使轮 / 15-50人"
"1554769834-502","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能研发工程师","金控集团","15k-30k","15k-30k
                        经验3-5年 / 本科","金融 / 未融资 / 2000人以上"
"1554769834-513","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能开发工程师（非零）","平安金服","15k-30k","15k-30k
                        经验1-3年 / 硕士","金融,数据服务 / 上市公司 / 2000人以上"
"1554769834-505","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能训练师（深圳）","捷通华声","7k-10k","7k-10k
                        经验1年以下 / 本科","移动互联网,数据服务 / 不需要融资 / 150-500人"
"1554769834-517","https://www.lagou.com/jobs/list_%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD?city=%E6%B7%B1%E5%9C%B3&cl=false&fromSearch=true&labelWords=&suginput=","人工智能算法工程师（线上讲师）","腾讯","3k-6k","3k-6k
                        经验3-5年 / 本科","移动互联网 ,游戏 / 上市公司 / 2000人以上"
